month,year,oilCompanies,quantity000MetricTonnes
December,2023,"IOCL-BONGAIGAON,ASSAM",255.87
December,2023,IOCL TOTAL,6526.5
December,2023,"CPCL-MANALI, TAMILNADU",820.5
December,2023,BORL-BINA,666.16
December,2023,"NRL-NUMALIGARH, ASSAM",287.17
December,2023,"HPCL-VISAKH,ANDHRA PRADESH",907.85
January,2024,"IOCL-PANIPAT, HARYANA",1213.87
January,2024,CPCL-TOTAL,1001.24
January,2024,"HPCL-VISAKH,ANDHRA PRADESH",1180.36
January,2024,HPCL-TOTAL,2886.15
January,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2615.91
January,2024,GRAND TOTAL,22566.05
February,2024,"IOCL-HALDIA, WEST BENGAL",678.34
February,2024,"IOCL-MATHURA, UTTAR PRADESH",793.51
February,2024,"BPCL-KOCHI, KERALA",1203.8
February,2024,BORL-BINA,663.63
February,2024,"NRL-NUMALIGARH, ASSAM",261.6
February,2024,HPCL-TOTAL,2818.23
February,2024,"NEL-VADINAR,GUJARAT",1622.29
February,2024,GRAND TOTAL,20876.75
March,2024,"IOCL-PANIPAT, HARYANA",1105.09
March,2024,CPCL-TOTAL,1072.31
